month,nexusflow_revenue,insightlens_revenue,pulseconnect_revenue,total_revenue
2022-01,310000,390000,0,700000
2022-02,320000,395000,0,715000
2022-03,330000,400000,0,730000
2022-04,340000,410000,60000,810000
2022-05,350000,420000,120000,890000
2022-06,360000,430000,180000,970000
2022-07,365000,435000,220000,1020000
2022-08,370000,440000,260000,1070000
2022-09,375000,445000,290000,1110000
2022-10,378000,448000,310000,1136000
2022-11,382000,452000,330000,1164000
2022-12,385000,455000,360000,1200000
